Time,L03_708_11
and,262
Date,Mean
8/3/2023 0:00,
8/4/2023 0:00,0.042
8/5/2023 0:00,0.039
8/6/2023 0:00,0.039
8/7/2023 0:00,0.036
8/8/2023 0:00,0.036
8/9/2023 0:00,0.047
8/10/2023 0:00,0.055
8/11/2023 0:00,0.045
8/12/2023 0:00,0.039
8/13/2023 0:00,0.04
8/14/2023 0:00,0.05
8/15/2023 0:00,0.024
8/16/2023 0:00,0.01
8/17/2023 0:00,0.016
8/18/2023 0:00,0.004
8/19/2023 0:00,0.004
8/20/2023 0:00,2.07
8/21/2023 0:00,0.171
8/22/2023 0:00,0.011
8/23/2023 0:00,0.019
8/24/2023 0:00,0.005
8/25/2023 0:00,0.005
8/26/2023 0:00,0.004
8/27/2023 0:00,0.004
8/28/2023 0:00,0.005
8/29/2023 0:00,0.004
8/30/2023 0:00,0.005
8/31/2023 0:00,0.006
9/1/2023 0:00,0.007
9/2/2023 0:00,0.012
9/3/2023 0:00,0.007
9/4/2023 0:00,0.003
9/5/2023 0:00,0.003
9/6/2023 0:00,0.005
9/7/2023 0:00,0.003
9/8/2023 0:00,0.004
9/9/2023 0:00,0.009
9/10/2023 0:00,0.015
9/11/2023 0:00,0.005
9/12/2023 0:00,0.004
9/13/2023 0:00,0.003
9/14/2023 0:00,0.004
9/15/2023 0:00,0.005
9/16/2023 0:00,0.004
9/17/2023 0:00,0.007
9/18/2023 0:00,0.006
9/19/2023 0:00,0.003
9/20/2023 0:00,0.008
9/21/2023 0:00,0.003
9/22/2023 0:00,0.003
9/23/2023 0:00,0.004
9/24/2023 0:00,0.005
9/25/2023 0:00,0.006
9/26/2023 0:00,0.006
9/27/2023 0:00,0.005
9/28/2023 0:00,0.005
9/29/2023 0:00,0.005
9/30/2023 0:00,0.004
10/1/2023 0:00,0.003
10/2/2023 0:00,0.002
10/3/2023 0:00,0.004
10/4/2023 0:00,0.004
10/5/2023 0:00,0.004
10/6/2023 0:00,0.004
10/7/2023 0:00,0.004
10/8/2023 0:00,0.003
10/9/2023 0:00,0.004
10/10/2023 0:00,0.004
10/11/2023 0:00,0.006
10/12/2023 0:00,0.004
10/13/2023 0:00,0.003
10/14/2023 0:00,0.004
10/15/2023 0:00,0.002
10/16/2023 0:00,0.003
10/17/2023 0:00,0.007
10/18/2023 0:00,0.006
10/19/2023 0:00,0.006
10/20/2023 0:00,0.004
10/21/2023 0:00,0.004
10/22/2023 0:00,0.002
10/23/2023 0:00,0.005
10/24/2023 0:00,0.003
10/25/2023 0:00,0.003
10/26/2023 0:00,0.002
10/27/2023 0:00,0.002
10/28/2023 0:00,0.001
10/29/2023 0:00,0.005
10/30/2023 0:00,0.004
10/31/2023 0:00,0.002
11/1/2023 0:00,0.001
11/2/2023 0:00,0.002
11/3/2023 0:00,
