Time,LC03_11515_1,LC03_11515_1
and,262,263
Date,Mean,Mean
5/2/2023 0:00,,
5/3/2023 0:00,0.029,12.9
5/4/2023 0:00,0.113,50.7
5/5/2023 0:00,0.028,12.7
5/6/2023 0:00,0.023,10.4
5/7/2023 0:00,0.028,12.8
5/8/2023 0:00,0.028,12.6
5/9/2023 0:00,0.028,12.5
5/10/2023 0:00,0.026,11.7
5/11/2023 0:00,0.026,11.9
5/12/2023 0:00,0.028,12.4
5/13/2023 0:00,0.024,10.9
5/14/2023 0:00,0.025,11.4
5/15/2023 0:00,0.027,11.9
5/16/2023 0:00,0.03,13.5
5/17/2023 0:00,0.025,11.1
5/18/2023 0:00,0.025,11.1
5/19/2023 0:00,0.025,11.1
5/20/2023 0:00,0.025,11.4
5/21/2023 0:00,0.026,11.6
5/22/2023 0:00,0.025,11.1
5/23/2023 0:00,0.026,11.6
5/24/2023 0:00,0.026,11.7
5/25/2023 0:00,0.026,11.8
5/26/2023 0:00,0.024,10.9
5/27/2023 0:00,0.023,10.2
5/28/2023 0:00,0.023,10.3
5/29/2023 0:00,0.026,11.7
5/30/2023 0:00,0.024,10.9
5/31/2023 0:00,0.025,11.4
6/1/2023 0:00,0.044,19.8
6/2/2023 0:00,0.027,12.1
6/3/2023 0:00,0.027,12
6/4/2023 0:00,0.026,11.6
6/5/2023 0:00,0.028,12.4
6/6/2023 0:00,0.032,14.3
6/7/2023 0:00,0.034,15.2
6/8/2023 0:00,0.03,13.5
6/9/2023 0:00,0.029,12.9
6/10/2023 0:00,0.03,13.6
6/11/2023 0:00,0.034,15.4
6/12/2023 0:00,0.036,16.1
6/13/2023 0:00,0.034,15.5
6/14/2023 0:00,0.031,13.7
6/15/2023 0:00,0.034,15.2
6/16/2023 0:00,0.037,16.5
6/17/2023 0:00,0.036,16.3
6/18/2023 0:00,0.032,14.2
6/19/2023 0:00,0.032,14.3
6/20/2023 0:00,0.033,15
6/21/2023 0:00,0.028,12.7
6/22/2023 0:00,0.029,13
6/23/2023 0:00,0.028,12.6
6/24/2023 0:00,0.026,11.7
6/25/2023 0:00,0.028,12.4
6/26/2023 0:00,0.025,11.1
6/27/2023 0:00,0.027,12.1
6/28/2023 0:00,0.028,12.6
6/29/2023 0:00,0.03,13.6
6/30/2023 0:00,0.031,13.9
7/1/2023 0:00,0.028,12.5
7/2/2023 0:00,0.026,11.5
7/3/2023 0:00,0.027,12.1
7/4/2023 0:00,0.032,14.2
7/5/2023 0:00,0.031,14
7/6/2023 0:00,0.031,13.9
7/7/2023 0:00,0.034,15.1
7/8/2023 0:00,0.034,15.2
7/9/2023 0:00,0.032,14.5
7/10/2023 0:00,0.029,13
7/11/2023 0:00,0.034,15.3
7/12/2023 0:00,0.035,15.8
7/13/2023 0:00,0.033,14.9
7/14/2023 0:00,0.031,13.9
7/15/2023 0:00,0.032,14.2
7/16/2023 0:00,0.032,14.4
7/17/2023 0:00,0.028,12.7
7/18/2023 0:00,0.024,10.7
7/19/2023 0:00,0.022,10
7/20/2023 0:00,0.02,9.1
7/21/2023 0:00,0.019,8.5
7/22/2023 0:00,0.017,7.8
7/23/2023 0:00,0.016,7.2
7/24/2023 0:00,0.017,7.6
7/25/2023 0:00,0.021,9.4
7/26/2023 0:00,0.024,10.9
7/27/2023 0:00,0.021,9.5
7/28/2023 0:00,0.014,6.4
7/29/2023 0:00,0.018,8
7/30/2023 0:00,0.022,10
7/31/2023 0:00,0.017,7.8
8/1/2023 0:00,0.021,9.5
8/2/2023 0:00,0.016,7.3
8/3/2023 0:00,0.014,6.4
8/4/2023 0:00,0.015,6.7
8/5/2023 0:00,0.02,8.9
8/6/2023 0:00,0.026,11.5
8/7/2023 0:00,0.024,10.6
8/8/2023 0:00,0.031,13.7
8/9/2023 0:00,0.036,16
8/10/2023 0:00,0.034,15.4
8/11/2023 0:00,0.033,15
8/12/2023 0:00,0.028,12.7
8/13/2023 0:00,0.029,13.2
8/14/2023 0:00,0.029,12.9
8/15/2023 0:00,0.031,13.9
8/16/2023 0:00,0.036,16
8/17/2023 0:00,0.028,12.8
8/18/2023 0:00,0.028,12.8
8/19/2023 0:00,0.028,12.4
8/20/2023 0:00,1.19,536
8/21/2023 0:00,0.099,44.5
8/22/2023 0:00,0.029,12.8
8/23/2023 0:00,0.025,11.2
8/24/2023 0:00,0.024,11
8/25/2023 0:00,0.023,10.1
8/26/2023 0:00,0.025,11.1
8/27/2023 0:00,0.023,10.5
8/28/2023 0:00,0.024,10.8
8/29/2023 0:00,0.026,11.5
8/30/2023 0:00,0.022,9.9
8/31/2023 0:00,0.022,10
9/1/2023 0:00,0.022,10
9/2/2023 0:00,0.022,10
9/3/2023 0:00,0.018,8.1
9/4/2023 0:00,0.014,6.5
9/5/2023 0:00,0.016,7.2
9/6/2023 0:00,0.016,7.4
9/7/2023 0:00,0.011,4.7
9/8/2023 0:00,0.021,9.6
9/9/2023 0:00,0.025,11.1
9/10/2023 0:00,0.034,15.2
9/11/2023 0:00,0.031,14
9/12/2023 0:00,0.029,13
9/13/2023 0:00,0.026,11.8
9/14/2023 0:00,0.028,12.4
9/15/2023 0:00,0.028,12.7
9/16/2023 0:00,0.025,11.3
9/17/2023 0:00,0.026,11.7
9/18/2023 0:00,0.03,13.7
9/19/2023 0:00,0.029,13.1
9/20/2023 0:00,0.033,14.7
9/21/2023 0:00,0.027,12.3
9/22/2023 0:00,0.026,11.5
9/23/2023 0:00,0.029,12.8
9/24/2023 0:00,0.029,13
9/25/2023 0:00,0.029,13.1
9/26/2023 0:00,0.03,13.2
9/27/2023 0:00,0.028,12.7
9/28/2023 0:00,0.032,14.2
9/29/2023 0:00,0.029,12.9
9/30/2023 0:00,0.028,12.8
10/1/2023 0:00,0.025,11.4
10/2/2023 0:00,0.026,11.8
10/3/2023 0:00,0.028,12.6
10/4/2023 0:00,0.031,13.8
10/5/2023 0:00,0.034,15.3
10/6/2023 0:00,0.03,13.6
10/7/2023 0:00,0.032,14.5
10/8/2023 0:00,0.032,14.2
10/9/2023 0:00,0.029,13.1
10/10/2023 0:00,0.033,14.7
10/11/2023 0:00,0.033,14.8
10/12/2023 0:00,,
