jurisdicti,acres_juris_soc,acres_juris_total,acres_san_diego,Previous reports,,% difference,,,,,,,,
ALISO VIEJO,4298.475849,4430.435139,4289.806463,"4,414",,2.7,,,,,,,,
DANA POINT,4071.560352,4164.334638,3993.828653,"4,027",,-1.1,,,,,,,,
LAGUNA BEACH,5632.041056,5653.443711,5615.513849,"5,636",,0.1,,,,,,,,
LAGUNA HILLS,3498.38696,4254.277317,3498.337248,"3,502",,0.1,,,,,,,,
LAGUNA NIGUEL,9463.773977,9463.773978,9463.811832,"9,465",,0,,,,,,,,
LAGUNA WOODS,756.0075789,2115.91791,557.0799815,792,,4.8,,,,,,,,
LAKE FOREST,3303.943395,10742.17886,3141.308694,"3,240",,-1.9,,,,,,,,
MISSION VIEJO,11525.93439,11525.93439,11525.9805,"11,527",,0,,,,,,,,
RANCHO SANTA MARGARITA,8280.210526,8280.210527,8280.243647,"8,281",,0,,,,,,,,
SAN CLEMENTE,11739.01617,11739.03794,11736.14673,"11,737",,0,,,,,,,,
SAN JUAN CAPISTRANO,9220.309393,9220.30939,9220.346275,"9,220",,0,,,,,,,,
ORANGE CO,94761.16102,175918.4946,93952.66977,"94,003",,-0.8,,,,,,,,
,,,,,,,,,,,,,,
,166550.8207,,165275.0736,165844,,-0.424387382,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"14,174",62564036,"14,555",,,"18,963",83702682,"19,473",,,"16,087",71008018,"16,519"
,,"2,358",9495666,"2,332",,,"3,005",12101135,"2,972",,,"3,897",15693219,"3,854"
,,"1,592",8972512,"1,593",,,"1,714",9660104,"1,715",,,662,3731032,662
,,"5,448",19078896,"5,454",,,"5,949",20833398,"5,955",,,"1,898",6646796,"1,900"
,,"15,555",147228075,"15,557",,,"15,658",148202970,"15,660",,,"14,435",136627275,"14,437"
,,"4,203",3328776,"4,403",,,"5,377",4258584,"5,633",,,"4,928",3902976,"5,163"
,,"2,049",6638760,"2,009",,,"2,062",6680880,"2,022",,,"2,792",9046080,"2,738"
,,"3,334",38431018,"3,334",,,"3,942",45439434,"3,942",,,"4,484",51687068,"4,484"
,,"1,770",14657370,"1,770",,,"2,316",19178796,"2,316",,,"2,424",20073144,"2,424"
,,"1,318",15469366,"1,318",,,"1,766",20727542,"1,766",,,"3,663",42992631,"3,662"
,,972,8961840,972,,,"1,368",12612960,"1,368",,,"2,159",19905980,"2,159"
,,230,21620690,228,,,497,46719491,493,,,585,54991755,580
,,,,,,,,,,,,,,
,,,,"4,460",,,,,"5,276",,,,,"4,882"
